,store_code,ItemID,address,local,category
102,STORE_YS00103,이춘복참치 본점,서울 용산구 한강대로 266-2,(지번) 남영동 85-1,참치회
103,STORE_YS00104,쌍대포 본점,서울 용산구 청파로 291,(지번) 청파동2가 95,"육류,고기"
104,STORE_YS00105,잭슨피자 한남점,서울 용산구 독서당로 46 한남아이파크 1층 107호,(지번) 한남동 828,피자
105,STORE_YS00106,카사블랑카,서울 용산구 신흥로 35 1층,(지번) 용산동2가 44-7,샌드위치
106,STORE_YS00107,공기,"서울 용산구 이태원로45길 4 1,2층",(지번) 한남동 738-16,한식
107,STORE_YS00108,봉피양 용산점,서울 용산구 한강대로40길 31,(지번) 한강로2가 77-1,갈비
108,STORE_YS00109,중화가정 용산역점,서울 용산구 새창로 213,(지번) 한강로2가 2-196,중화요리
109,STORE_YS00110,일호식 사운즈한남점,서울 용산구 대사관로 35 지하1층,(지번) 한남동 657-128,한식
110,STORE_YS00111,야키토리고우,서울 용산구 이태원로27가길 45 지하1층,(지번) 이태원동 119-17,일본식주점
111,STORE_YS00112,바통 밀카페,서울 용산구 한강대로15길 33,(지번) 한강로3가 40-198,카페
112,STORE_YS00113,챔프커피 1작업실,서울 용산구 우사단로10길 121 1층,(지번) 한남동 768-25,커피전문점
113,STORE_YS00114,대원식당,서울 용산구 한강대로62나길 16-1,(지번) 용산동3가 1-64,"해물,생선"
114,STORE_YS00115,일미장어,서울 용산구 후암로57길 35-15,(지번) 동자동 35-44,장어
115,STORE_YS00116,종점숯불갈비,서울 용산구 장문로 112,(지번) 보광동 70-19,갈비
116,STORE_YS00117,기와,서울 용산구 한강대로21나길 40,(지번) 한강로3가 40-950,한정식
117,STORE_YS00118,더할랄가이즈 이태원점,서울 용산구 이태원로 187,(지번) 이태원동 123-32,양식
118,STORE_YS00119,이촌동면옥 이촌직영점,서울 용산구 이촌로54길 17 1층,(지번) 이촌동 302-90,냉면
119,STORE_YS00120,노맨틱,서울 용산구 두텁바위로 59-1 2층,(지번) 후암동 255-14,카페
120,STORE_YS00121,알프키친,서울 용산구 독서당로34길 16,(지번) 한남동 1-131,양식
121,STORE_YS00122,바스버거 후암점,서울 용산구 한강대로104길 32,(지번) 동자동 23-30,햄버거
122,STORE_YS00123,샐러드셀러,서울 용산구 대사관로5길 28 202호,(지번) 한남동 684-24,채식뷔페
123,STORE_YS00124,씨스루,서울 용산구 녹사평대로40나길 37 1층,(지번) 이태원동 403-3,커피전문점
124,STORE_YS00125,명화원,서울 용산구 한강대로 202,(지번) 한강로1가 14-28,중화요리
125,STORE_YS00126,부첼리하우스,서울 용산구 독서당로 122-1,(지번) 한남동 1-90,양식
126,STORE_YS00127,셰프테이너,서울 용산구 이태원로27길 101,(지번) 이태원동 135-55,이탈리안
127,STORE_YS00128,코레아노스,서울 용산구 녹사평대로40길 46,(지번) 이태원동 457-3,"멕시칸,브라질"
128,STORE_YS00129,주식,서울 용산구 한강대로54길 14 1층,(지번) 한강로2가 28-1,한식
129,STORE_YS00130,더리버 벨라쿠치나,서울 용산구 용산동6가 451 1층,,이탈리안
130,STORE_YS00131,지노스뉴욕피자,서울 용산구 녹사평대로40길 46 2층,(지번) 이태원동 457-3,피자
131,STORE_YS00132,테이프,서울 용산구 이태원로14길 21 2층,(지번) 이태원동 63-5,카페
132,STORE_YS00133,두화당,서울 용산구 백범로87길 25 1층,(지번) 원효로1가 57-10,카페
133,STORE_YS00134,북파크,서울 용산구 이태원로 294 2층,(지번) 한남동 727-56,북카페
134,STORE_YS00135,타파스바,서울 용산구 이태원로27가길 49 1층,(지번) 이태원동 119-28,"호프,요리주점"
135,STORE_YS00136,굴다리소곱창,서울 용산구 청파로 269-1,(지번) 청파동3가 48-4,"곱창,막창"
136,STORE_YS00137,소와나,서울 용산구 이태원로54길 68,(지번) 한남동 684-16,일식
137,STORE_YS00138,갯마을 한강로점,서울 용산구 서빙고로 56 1층,(지번) 한강로3가 65-550,한식
138,STORE_YS00139,하나모코시,서울 용산구 백범로87길 50-1 1층,(지번) 원효로1가 43-3,일본식라면
139,STORE_YS00140,카페노티드 한남,서울 용산구 대사관로5길 12 2층,(지번) 한남동 684-77,디저트카페
140,STORE_YS00141,오복수산 한남점,서울 용산구 이태원로54길 26,(지번) 한남동 683-5,일식
141,STORE_YS00142,보일링팟 용산점,서울 용산구 한강대로38가길 31,(지번) 한강로2가 148-1,카페
142,STORE_YS00143,바마셀,서울 용산구 원효로89길 12,(지번) 원효로1가 38-5,카페
143,STORE_YS00144,마라돈왕주먹고기,서울 용산구 한강대로17길 7 성주빌딩 1층,(지번) 한강로3가 40-142,"육류,고기"
144,STORE_YS00145,르미야,서울 용산구 이촌로77길 19 1층,(지번) 이촌동 301-23,이탈리안
145,STORE_YS00146,헬카페,서울 용산구 보광로 76,(지번) 보광동 238-43,카페
146,STORE_YS00147,더백테라스 신용산점,서울 용산구 한강대로40길 26 3층,(지번) 한강로2가 147,햄버거
147,STORE_YS00148,정감어린,서울 용산구 후암로 4,(지번) 후암동 255-1,"육류,고기"
148,STORE_YS00149,야스노야 신용산점,서울 용산구 한강대로46길 19,(지번) 한강로2가 84-7,"육류,고기"
149,STORE_YS00150,와플하우스,서울 용산구 청파로45길 37,(지번) 청파동2가 71-75,"제과,베이커리"
150,STORE_YS00151,33아파트먼트,서울 용산구 한남대로27길 33 1층,(지번) 한남동 729-68,카페
151,STORE_YS00152,삼층로비,서울 용산구 한강대로15길 19-19 3층,(지번) 한강로3가 40-642,카페
152,STORE_YS00153,버뮤다삼각지,"서울 용산구 한강대로52길 19 1,2층",(지번) 한강로2가 24-6,"멕시칸,브라질"
153,STORE_YS00154,울프소셜클럽,서울 용산구 한남대로 158,(지번) 한남동 795-2,카페
154,STORE_YS00155,르번미 동부이촌점,서울 용산구 이촌로77길 19 1층 301-21호,(지번) 이촌동 301-20,베트남음식
155,STORE_YS00156,때가이르매 숙대점,서울 용산구 두텁바위로 8 4층,(지번) 남영동 8-2,디저트카페
156,STORE_YS00157,작은도쿄,서울 용산구 청파로 271 1층,(지번) 청파동3가 55-3,일식집
